	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NDFIP1	65.59662633	0.534092383	0.342376134	1.559957984	0.118769811	0.999652389
NDFIP2	19.94511115	0.666459369	0.64086756	1.03993307	0.298370997	0.999652389
NDN	16.91586566	-0.17315524	1.06363745	-0.162795358	0.870679563	0.999652389
NDNF	3.235600845	0.769717957	1.688213872	0.455936283	0.648435798	0.999652389
NDOR1	21.72374722	-0.227488432	0.406208283	-0.560029033	0.575459634	0.999652389
NDP	0.536633908	0.567530687	3.779465327	0.150161633	0.880637095	0.999652389
NDRG1	186.6657052	-1.100228442	0.749250512	-1.468438692	0.141985098	0.999652389
NDRG2	1.527995085	7.189404853	3.761318566	1.911405462	0.055952495	0.999652389
NDRG3	52.07012405	0.414935403	0.373317298	1.111481856	0.266360996	0.999652389
NDST1	341.5247113	-0.756964715	0.33045303	-2.29068777	0.021981478	0.999652389
NDST2	55.37108565	0.078800865	0.470517782	0.167476912	0.866994812	0.999652389
NDST3	0.63942366	1.160809099	2.477831638	0.468477794	0.639442947	0.999652389
NDUFA1	19.70940468	1.210874458	0.674574348	1.795020016	0.072650511	0.999652389
NDUFA10	29.89027836	-0.160732096	0.496903634	-0.323467339	0.746341339	0.999652389
NDUFA11	51.35531808	-0.095968096	0.499364546	-0.192180435	0.847600871	0.999652389
NDUFA12	6.572619341	0.125488862	1.516459527	0.082751211	0.934049364	0.999652389
NDUFA13	70.77372429	0.208088588	0.448305661	0.464166764	0.642528271	0.999652389
NDUFA2	16.52018436	0.514127547	0.485115652	1.059804078	0.289233741	0.999652389
NDUFA3	19.74905397	0.105746307	0.471215731	0.224411666	0.822436994	0.999652389
NDUFA4	12.38694819	0.09036091	0.601414192	0.150247385	0.880569442	0.999652389
NDUFA4L2	13.10781295	-0.932368663	0.983485927	-0.948024407	0.343117029	0.999652389
NDUFA5	7.572059603	0.709073586	0.806085802	0.879650261	0.379048802	0.999652389
NDUFA6	29.00121417	0.881312661	0.485086507	1.816815453	0.069245376	0.999652389
NDUFA7	3.248004522	-1.083468784	1.894648924	-0.571857282	0.567418666	0.999652389
NDUFA8	18.08921228	0.848136292	0.473481906	1.791274982	0.073249179	0.999652389
NDUFA9	33.31960638	0.115133379	0.448096077	0.256939048	0.797225826	0.999652389
NDUFAB1	17.34615121	0.409014345	0.722260429	0.566297596	0.571191494	0.999652389
NDUFAF1	6.559133467	1.58690113	0.673802198	2.355143889	0.018515535	0.999652389
NDUFAF2	9.982462829	-0.157245959	0.705493878	-0.222887773	0.823622853	0.999652389
NDUFAF3	29.52841832	-0.026333013	0.528285787	-0.049846152	0.960244989	0.999652389
NDUFAF4	2.687352364	-0.227397537	1.074495006	-0.211632009	0.832394136	0.999652389
NDUFAF5	7.770582055	-0.146058236	0.673304076	-0.216927598	0.82826477	0.999652389
NDUFAF6	3.619254863	0.606735823	1.07406416	0.564897187	0.572143697	0.999652389
NDUFAF7	8.541016022	0.542581638	0.662455619	0.81904602	0.412760158	0.999652389
NDUFAF8	11.16304698	0.249619202	0.649670407	0.384224368	0.700812159	0.999652389
NDUFB1	10.8509591	1.253719123	0.89710476	1.397516966	0.162258168	0.999652389
NDUFB10	52.54332696	0.344456307	0.456978946	0.75376844	0.450988278	0.999652389
NDUFB11	26.3300737	0.395198326	0.567349577	0.696569351	0.486072342	0.999652389
NDUFB2	41.71845713	-0.0569136	0.42364211	-0.134343585	0.89313089	0.999652389
NDUFB3	14.75128047	1.44968928	0.644441598	2.249527786	0.024478937	0.999652389
NDUFB5	9.99048362	-0.11823888	0.752532168	-0.157121363	0.875149201	0.999652389
NDUFB6	11.25102581	0.799176123	0.692045014	1.154803672	0.248170833	0.999652389
NDUFB7	22.23439494	0.773625722	0.790385964	0.978794864	0.327681348	0.999652389
NDUFB9	38.43542425	0.552627879	0.626971144	0.881424742	0.378087971	0.999652389
NDUFC1	6.821743682	0.816851589	0.907566583	0.900045908	0.36809582	0.999652389
NDUFC2	27.85424307	0.612781372	0.446020358	1.373886551	0.169476906	0.999652389
NDUFC2-KCTD14	2.573196282	3.590245857	2.121141941	1.692600475	0.090531541	0.999652389
NDUFS1	157.7732518	0.07103556	0.212191824	0.334770486	0.737798226	0.999652389
NDUFS2	23.78719802	0.04127653	0.924890064	0.04462858	0.964403362	0.999652389
NDUFS3	10.82521075	-0.119209804	0.733784708	-0.162458829	0.870944547	0.999652389
NDUFS4	9.178953614	0.601049927	0.809510089	0.742486023	0.457792917	0.999652389
NDUFS5	40.69964292	0.575966073	0.609813652	0.944495209	0.344916649	0.999652389
NDUFS6	20.80072793	0.466735482	0.5006561	0.932247668	0.351208546	0.999652389
NDUFS7	3.390961897	-0.697219708	1.737155316	-0.40135715	0.688157192	0.999652389
NDUFS8	31.09505598	0.707243257	0.447048164	1.582029217	0.113642901	0.999652389
NDUFV1	56.45163837	0.091805925	0.553876198	0.165751706	0.868352354	0.999652389
NDUFV2	27.71868202	0.859805423	0.605473727	1.420054058	0.155591944	0.999652389
NDUFV3	46.53548287	-0.335386124	0.310120965	-1.081468723	0.279488666	0.999652389
NEB	6.357793113	-0.130963676	0.94263808	-0.138933148	0.889502977	0.999652389
NEBL	2.185485174	0.378489589	2.363289715	0.160153699	0.872760002	0.999652389
NECAB1	2.420952588	-0.047544768	1.0766705	-0.04415907	0.964777608	0.999652389
NECAB2	4.07170092	-0.406267563	1.469590721	-0.276449461	0.782202872	0.999652389
NECAB3	11.19372027	-0.098873448	1.125495688	-0.087848802	0.929996849	0.999652389
NECAP1	6.813106624	-0.217639008	0.797788201	-0.272802991	0.78500466	0.999652389
NECAP2	46.98683487	0.574475187	0.385693977	1.489458538	0.136366664	0.999652389
NECTIN1	49.78545777	-1.267893623	0.772053549	-1.642235339	0.100541242	0.999652389
NECTIN2	96.3005835	-0.098964973	0.502968805	-0.196761652	0.844014062	0.999652389
NECTIN3	41.03133364	0.614898014	0.575805805	1.067891306	0.285569545	0.999652389
NEDD4	27.64271864	0.671714184	0.939555403	0.7149277	0.474653719	0.999652389
NEDD4L	38.28162989	0.944563454	0.671304047	1.407057588	0.159410313	0.999652389
NEDD8	41.00964867	0.55187533	0.571948531	0.964903833	0.334592981	0.999652389
NEDD8-MDP1	0.212721729	-0.121429367	3.813879307	-0.031838807	0.974600599	0.999652389
NEDD9	18.69508228	0.235575093	0.762233946	0.309058779	0.757276815	0.999652389
NEFH	2.57351028	-1.772448761	1.313051856	-1.349869583	0.17705782	0.999652389
NEFL	16.65261399	4.001648095	3.628111896	1.102956085	0.270046236	0.999652389
NEFM	4.554951362	-1.104825558	1.943753045	-0.56839811	0.569764673	0.999652389
NEGR1	48.7726566	-0.11814931	0.453222755	-0.260687066	0.794333841	0.999652389
NEIL1	5.635847322	-1.074113809	1.220962486	-0.879727118	0.379007155	0.999652389
NEIL2	15.88209145	1.023149507	0.509871566	2.006680848	0.044783657	0.999652389
NEIL3	6.614630239	1.032161345	1.080187605	0.955538963	0.339305211	0.999652389
NEK1	25.99196849	0.459159405	0.430477761	1.066627469	0.286140092	0.999652389
NEK10	23.28289353	-0.075325246	0.843230657	-0.089329349	0.92882017	0.999652389
NEK11	1.503125995	-1.075104535	1.880629945	-0.57167256	0.567543828	0.999652389
NEK2	10.84647675	0.370944165	0.897849386	0.413147429	0.679498602	0.999652389
NEK3	4.258667246	-0.581492892	0.9989596	-0.582098507	0.560500331	0.999652389
NEK4	40.27590858	-0.162668784	0.436869766	-0.372350748	0.709631719	0.999652389
NEK5	3.437318753	0.07986999	0.861731932	0.092685425	0.926153477	0.999652389
NEK6	90.04214182	-0.328612103	0.424592252	-0.773947478	0.438961851	0.999652389
NEK7	140.7077463	1.379540598	0.672831068	2.050352107	0.040330083	0.999652389
NEK9	35.40218526	-0.620452435	0.462415837	-1.341762945	0.17967287	0.999652389
NELFA	13.1795018	-0.131154784	0.595344485	-0.220300662	0.825637005	0.999652389
NELFB	90.65459682	-0.108393172	0.30328213	-0.357400457	0.720792034	0.999652389
NELFCD	24.35709765	-0.894626086	1.263581997	-0.70800794	0.478940327	0.999652389
NELFE	42.54719293	-0.394390186	0.43405093	-0.908626518	0.363547304	0.999652389
NEMF	31.11995818	0.451371465	0.525339054	0.859200286	0.390230026	0.999652389
NEMP1	34.26193714	0.192013379	0.565643625	0.339459989	0.734263233	0.999652389
NEMP2	6.917327768	0.273947501	0.869611628	0.315022813	0.752744333	0.999652389
NENF	18.83190134	0.302711259	1.318276161	0.22962659	0.818381943	0.999652389
NEO1	136.9978151	0.413326942	0.417509183	0.989982876	0.322182489	0.999652389
NEPRO	12.70994293	0.302513014	0.625974809	0.483267073	0.628906116	0.999652389
NET1	21.23237133	0.939576936	0.621094002	1.512777346	0.130336225	0.999652389
NEU1	53.3498368	0.941792596	0.908059555	1.03714849	0.29966666	0.999652389
NEU3	20.04499852	-0.437129151	0.400184643	-1.092318655	0.274693064	0.999652389
NEURL1	1.179625206	-0.408061526	1.286559973	-0.317172564	0.751112666	0.999652389
NEURL1B	22.1875056	-0.660649964	1.003990172	-0.658024333	0.510522495	0.999652389
NEURL2	2.260081671	-0.325347191	1.564626196	-0.207939246	0.835276405	0.999652389
NEURL3	0.337808661	0.448042349	3.794080333	0.118089842	0.905996472	0.999652389
NEURL4	27.93802576	-0.537624791	0.783687914	-0.68601899	0.492701134	0.999652389
NEUROD1	0.204269834	-0.509346615	3.816483847	-0.133459654	0.89382987	0.999652389
NEUROD2	1.155095056	1.378931071	1.287639929	1.070898036	0.284215279	0.999652389
NEUROG2	0.040567783	-0.314262727	3.819700862	-0.082274172	0.934428692	0.999652389
NEXMIF	3.242002219	3.637766038	2.322580118	1.566260733	0.11728759	0.999652389
NEXN	33.00487673	0.200400898	0.634581511	0.315800089	0.752154251	0.999652389
NF1	91.79483067	-0.090506076	0.53550372	-0.169011106	0.865787906	0.999652389
NF2	216.3754705	-0.490494105	0.536696163	-0.913913939	0.360762069	0.999652389
NFAM1	1.865922925	-1.632719104	1.661878669	-0.982453854	0.325876306	0.999652389
NFASC	109.8659843	0.117744265	0.858165031	0.137204688	0.890869006	0.999652389
NFAT5	53.30554281	-0.107367333	0.910342137	-0.117941737	0.906113823	0.999652389
NFATC1	15.30867913	0.888307026	0.892893296	0.994863586	0.319802615	0.999652389
NFATC2	4.395893343	0.804280785	1.330753031	0.604380201	0.545590896	0.999652389
NFATC2IP	64.42675279	0.059540807	0.364565728	0.163319815	0.870266633	0.999652389
NFATC3	45.14157876	0.010587517	0.520706985	0.020332966	0.983777758	0.999652389
NFATC4	112.2429384	1.086163604	0.779244061	1.393868311	0.163357375	0.999652389
NFE2	0.445986685	0.383302999	3.563378655	0.107567294	0.914338942	0.999652389
NFE2L1	762.0824851	-0.098659716	0.342281549	-0.288241409	0.773161953	0.999652389
NFE2L2	125.5688209	-0.187207415	0.304711084	-0.61437678	0.538966376	0.999652389
NFE2L3	18.41539582	0.506853304	1.350124485	0.375412274	0.707353878	0.999652389
NFE4	0.37340126	0.96464312	3.684803198	0.26178959	0.793483665	0.999652389
NFIA	63.72338832	-0.193761299	0.540599806	-0.358419107	0.720029695	0.999652389
NFIB	69.7356321	-0.11375602	0.712714323	-0.15960956	0.873188648	0.999652389
NFIC	544.6721943	-0.181028695	0.268525192	-0.674159073	0.500210186	0.999652389
NFIL3	47.24568116	-1.043956911	0.448429133	-2.328030972	0.019910459	0.999652389
NFIX	820.159353	-0.260551088	0.54878797	-0.474775508	0.634946992	0.999652389
NFKB1	58.86722593	-0.592826707	0.479000399	-1.237633013	0.215852168	0.999652389
NFKB2	49.94285208	0.157717311	0.68208979	0.231226611	0.817138757	0.999652389
NFKBIA	25.41792163	0.428944005	1.344440853	0.319050112	0.749688513	0.999652389
NFKBIB	9.275085344	-2.111679696	0.97442874	-2.167095048	0.030227607	0.999652389
NFKBID	1.611728207	3.057999184	2.05538826	1.487796366	0.136804604	0.999652389
NFKBIE	9.762851311	0.143759675	1.030298695	0.139532036	0.889029742	0.999652389
NFKBIL1	20.70489932	-0.350509345	0.66452079	-0.52746182	0.597872923	0.999652389
NFKBIZ	65.87789594	0.284056941	0.680475651	0.417438803	0.676357478	0.999652389
NFRKB	30.41972272	0.198143869	0.387451279	0.511403317	0.609068673	0.999652389
NFS1	11.80708064	1.162320056	0.781958475	1.486421714	0.13716761	0.999652389
NFU1	9.388410996	0.47785321	0.687796849	0.694759231	0.487206202	0.999652389
NFX1	71.27216925	-0.123710742	0.286326994	-0.432061054	0.66569704	0.999652389
NFXL1	7.918168872	-0.442739664	1.20581914	-0.367169213	0.713492803	0.999652389
NFYA	38.40224134	-0.141175972	0.433028286	-0.326020209	0.744409065	0.999652389
NFYB	16.61281519	0.901921199	0.586964606	1.536585325	0.124394889	0.999652389
NFYC	27.06351518	0.022394626	0.501811757	0.044627543	0.964404189	0.999652389
NGDN	8.34108652	-0.47581119	1.031145369	-0.461439487	0.644483327	0.999652389
NGEF	23.64287141	1.384385775	0.985151454	1.405251719	0.15994644	0.999652389
NGF	10.21855472	-0.494962722	0.874931931	-0.565715691	0.571587067	0.999652389
NGLY1	13.20681397	0.281664347	0.918450463	0.306673423	0.759091961	0.999652389
NGRN	29.59931636	-0.71500656	0.474784594	-1.5059599	0.132077468	0.999652389
NHEJ1	8.338837351	0.324252929	0.704086533	0.46052994	0.645135886	0.999652389
NHLH1	0.135838077	0.034988737	3.818319704	0.009163386	0.992688778	0.999652389
NHLRC1	2.903039295	-0.528812554	0.991053799	-0.533586123	0.593627911	0.999652389
NHLRC2	55.29670723	0.139304207	0.307393861	0.453178233	0.650420405	0.999652389
NHLRC3	13.83809717	0.153913857	0.749618483	0.205322922	0.837319837	0.999652389
NHLRC4	0.406981237	-1.269641589	2.710946198	-0.468338911	0.639542247	0.999652389
NHP2	41.23256352	-0.294287054	0.518176151	-0.567928596	0.570083454	0.999652389
NHS	31.91265298	-0.442936666	0.719453507	-0.615657109	0.538120851	0.999652389
NHSL1	70.93410094	-0.565171029	0.467832058	-1.208063918	0.227022677	0.999652389
NHSL2	55.42924054	-0.386836422	0.724172597	-0.534177106	0.593219007	0.999652389
NICN1	15.10325113	-0.061471346	0.623471152	-0.098595333	0.921459576	0.999652389
NID1	203.1282642	-0.352498311	0.631992372	-0.557757225	0.577010176	0.999652389
NID2	133.8913388	-0.816232824	0.696297789	-1.172246756	0.241098001	0.999652389
NIF3L1	12.0020167	0.72875976	0.52951046	1.376289639	0.168731979	0.999652389
NIFK	9.325302399	0.811830308	0.808274726	1.004398977	0.315186343	0.999652389
NIM1K	0.897608641	0.018523825	1.888489144	0.009808807	0.99217383	0.999652389
NIN	147.090802	-0.54735225	0.259902445	-2.105991152	0.035205121	0.999652389
NINJ1	23.53524229	0.609779809	0.856976751	0.711547669	0.476744922	0.999652389
NINJ2	0.476374814	1.628966532	3.05254402	0.533642274	0.593589055	0.999652389
NINL	23.61218108	0.035957743	0.771086761	0.046632551	0.962806088	0.999652389
NIP7	22.34371815	0.118407497	0.587845346	0.201426273	0.840365273	0.999652389
NIPA1	20.03277871	0.414566218	0.702536631	0.590099077	0.555124228	0.999652389
NIPA2	30.47339159	0.098496273	0.338201805	0.291235207	0.770871438	0.999652389
NIPAL1	2.350614101	0.92830286	1.162148105	0.79878189	0.424416893	0.999652389
NIPAL2	42.35407138	0.344691996	0.658770592	0.523235251	0.600810553	0.999652389
NIPAL3	127.8484929	0.355450575	0.446077485	0.796835945	0.425546316	0.999652389
NIPAL4	1.444498579	0.314112474	2.39529177	0.131137458	0.89566657	0.999652389
NIPBL	91.62871863	-0.002470738	0.313505511	-0.007881002	0.993711935	0.999652389
NIPSNAP1	36.46359263	-0.286589395	0.656883863	-0.436286247	0.662629059	0.999652389
NIPSNAP2	21.39553878	0.637312791	0.515304467	1.23676939	0.216172709	0.999652389
NIPSNAP3A	7.276274629	0.428286079	0.980471425	0.436816482	0.662244445	0.999652389
NIPSNAP3B	1.440207018	-0.581317825	2.668027783	-0.217882973	0.827520294	0.999652389
NISCH	132.6732356	0.003214204	0.346116864	0.00928647	0.992590576	0.999652389
NIT1	14.41799999	-0.592321104	0.782685662	-0.756780317	0.449181487	0.999652389
NIT2	13.83101987	-0.139677905	0.569502671	-0.24526295	0.806252837	0.999652389
NKAIN1	0.987712434	0.535935932	3.041925979	0.176183094	0.860150102	0.999652389
NKAIN2	0.041271019	0.298409385	3.819617478	0.078125463	0.937728252	0.999652389
NKAP	36.09397613	-0.675763422	0.377842595	-1.788478669	0.073698814	0.999652389
NKAPD1	22.3369521	0.222619575	0.465684031	0.478048549	0.632615651	0.999652389
NKAPL	0.30432572	0.180543623	3.274001106	0.055144643	0.95602323	0.999652389
NKD1	4.320816243	-1.257841357	1.360627874	-0.924456555	0.355248661	0.999652389
NKG7	0.082520701	0.007414352	3.819700862	0.001941082	0.998451242	0.999652389
NKIRAS1	12.22594359	-0.250544809	0.621459598	-0.403155425	0.686833889	0.999652389
NKIRAS2	51.44016628	-0.870339764	0.378652713	-2.298517175	0.021532371	0.999652389
NKPD1	2.46547237	-0.478362736	1.170124835	-0.40881342	0.682676591	0.999652389
NKRF	15.20807708	-0.610926436	0.696974531	-0.876540545	0.380736245	0.999652389
NKTR	86.32527385	0.35461388	0.543804025	0.652098668	0.514337524	0.999652389
NKX2-1	0.292099821	0.132491133	3.807466747	0.034797712	0.972241045	0.999652389
NKX2-3	0.170458296	1.180763863	3.814273901	0.309564518	0.756892142	0.999652389
NKX2-5	1.413732511	-6.789177819	3.724506345	-1.822839643	0.068327682	0.999652389
NKX2-6	0.226546271	1.226687771	3.81827486	0.32126754	0.748007653	0.999652389
NKX3-1	9.46534002	-0.574580502	0.849012991	-0.67676291	0.498556394	0.999652389
NKX3-2	1.84563388	1.206532901	1.813233934	0.665403884	0.505792202	0.999652389
NKX6-1	4.360591546	1.515447377	1.978497026	0.765958885	0.443700766	0.999652389
NKX6-2	0.294750821	-1.041502055	3.80571224	-0.273668105	0.784339691	0.999652389
NLE1	18.06522589	-0.419773792	0.498048096	-0.842837862	0.399319129	0.999652389
NLGN1	7.864702409	0.769772996	1.030987085	0.746636895	0.455282771	0.999652389
NLGN2	116.6783564	-0.470590926	0.268915721	-1.749956918	0.080125748	0.999652389
NLGN3	1.061346841	2.030887124	1.831871212	1.108640777	0.26758518	0.999652389
NLGN4Y	7.95965901	-0.52212135	1.663848307	-0.313803456	0.753670319	0.999652389
NLK	7.790375399	0.874282628	0.893047925	0.978987358	0.327586226	0.999652389
NLN	37.92512783	0.209727261	0.42622775	0.49205445	0.622680851	0.999652389
NLRC3	4.072065296	-0.146861824	1.259180572	-0.116632854	0.907151001	0.999652389
NLRC4	1.120722709	0.071621056	1.614139826	0.044371036	0.964608649	0.999652389
NLRC5	39.56764573	-0.748145953	0.539573612	-1.386550298	0.165578933	0.999652389
NLRP1	28.58751865	-0.637743052	1.016410891	-0.627446102	0.530366856	0.999652389
NLRP10	18.42709196	0.594403636	0.724615772	0.820301819	0.41204407	0.999652389
NLRP11	0.74441851	-0.855380895	3.774793179	-0.22660338	0.820732163	0.999652389
NLRP12	0.492134139	0.113434667	2.605013119	0.043544759	0.965267286	0.999652389
NLRP14	0.047666991	0.315901844	3.81956654	0.082706203	0.934085153	0.999652389
NLRP2	3.390048062	-2.922157026	1.436605135	-2.034071127	0.041944425	0.999652389
NLRP2B	0.051046666	0.31934238	3.819700862	0.083604029	0.933371264	0.999652389
NLRP3	2.413169493	-0.138150082	1.385293957	-0.099726186	0.920561711	0.999652389
NLRP6	0.085229148	0.641019459	3.819700862	0.167819283	0.866725452	0.999652389
NLRP8	0.699366072	-1.917795716	2.183579106	-0.878280851	0.379791325	0.999652389
NLRP9	0.079110793	0.370596613	3.819647112	0.097023783	0.922707507	0.999652389
NLRX1	22.83689198	-0.424633229	0.823256343	-0.515797093	0.605996133	0.999652389
NMB	5.729775034	1.654681328	1.3017921	1.271079559	0.203700346	0.999652389
NMD3	32.26409886	0.387974958	0.525884642	0.737756775	0.460662264	0.999652389
NME1	31.27610849	-0.00650882	0.796709144	-0.008169632	0.99348165	0.999652389
NME1-NME2	6.630990595	-1.040107842	2.064350891	-0.503842562	0.614372016	0.999652389
NME2	250.6385512	-0.169124638	0.377995766	-0.447424689	0.654568453	0.999652389
NME3	6.63888203	0.241005154	1.477483087	0.163118723	0.870424959	0.999652389
NME4	83.08450058	0.37232649	0.653738167	0.569534577	0.568993413	0.999652389
NME5	0.04562375	-0.148551099	3.819700862	-0.038890768	0.968977477	0.999652389
NME6	36.26040629	-0.300146359	0.396747902	-0.756516563	0.449339546	0.999652389
NME7	1.953171297	0.147594502	1.623528064	0.090909732	0.927564317	0.999652389
NME9	1.987588978	-1.465547817	1.167814019	-1.254949669	0.209497031	0.999652389
NMI	8.967649261	0.644129163	0.691322661	0.931734484	0.35147376	0.999652389
NMNAT1	42.15722304	-0.594338622	0.433221976	-1.371903217	0.170093569	0.999652389
NMNAT2	5.371764901	-1.065500185	0.835867016	-1.274724525	0.202406763	0.999652389
NMNAT3	761.8767051	-0.503737476	0.388274523	-1.297374526	0.194502353	0.999652389
NMRAL1	20.31908721	0.814980462	0.714343318	1.14088064	0.253919597	0.999652389
NMRK1	4.96812854	-0.212756885	0.914374112	-0.232680346	0.816009632	0.999652389
NMRK2	0.030655319	-0.655432609	3.819700862	-0.171592654	0.863757783	0.999652389
NMT1	114.3345514	-0.370278177	0.251189578	-1.474098488	0.140455076	0.999652389
NMT2	70.02002629	-0.781224972	0.428961211	-1.8212019	0.068576172	0.999652389
NMU	0.237957071	1.265691174	3.818581895	0.331455815	0.740300211	0.999652389
NMUR1	1.126428169	-0.503853961	1.592606519	-0.316370651	0.751721191	0.999652389
NNAT	2.690154093	-0.247673183	0.92738001	-0.267067632	0.789417089	0.999652389
NNMT	86.40429534	0.741429126	0.808539954	0.916997512	0.359143944	0.999652389
NNT	94.97292083	-0.074170734	0.326792958	-0.226965521	0.820450553	0.999652389
NOA1	26.12290712	0.191525107	0.496619915	0.385657324	0.699750473	0.999652389
NOB1	24.71321247	0.036318811	0.406314675	0.08938592	0.928775213	0.999652389
NOC2L	78.77714638	-0.266524361	0.548198043	-0.48618262	0.626837693	0.999652389
NOC3L	24.68490065	0.304295492	0.368038128	0.82680426	0.408348015	0.999652389
NOC4L	13.96930718	0.107593162	0.724674592	0.148471001	0.88197107	0.999652389
NOCT	26.14920771	0.78461724	0.591054575	1.327486958	0.184347651	0.999652389
NOD1	15.19620216	-0.556987575	0.742720895	-0.749928511	0.453297762	0.999652389
NOD2	0.025091364	-0.267222318	3.81937873	-0.069964865	0.944221625	0.999652389
NODAL	0.566114763	0.474760356	2.648840276	0.17923329	0.857754526	0.999652389
NOG	2.717133803	0.549966592	1.861314128	0.295472206	0.767633181	0.999652389
NOL10	25.88952792	-0.234993265	0.436010593	-0.538962285	0.589912879	0.999652389
NOL11	5.207796822	1.800623302	0.880412699	2.045203692	0.040834781	0.999652389
NOL12	8.668526403	-1.015769568	0.71991256	-1.410962421	0.158255695	0.999652389
NOL4	0.335623345	1.765354283	3.801611689	0.464369964	0.642382706	0.999652389
NOL4L	30.74347178	0.149340387	0.632456784	0.236127417	0.8133338	0.999652389
NOL6	51.0842906	-0.306568848	0.266090007	-1.152124621	0.249269867	0.999652389
NOL7	25.31416448	0.13389481	0.453807533	0.295047569	0.767957541	0.999652389
NOL8	20.42543485	-0.393832155	0.750302107	-0.524898106	0.599654026	0.999652389
NOL9	98.74582266	-0.613748702	0.31173271	-1.96882997	0.048972619	0.999652389
NOLC1	54.6079277	0.607474863	0.641797209	0.946521509	0.343882657	0.999652389
NOM1	56.11293011	-0.155506529	0.313101252	-0.496665305	0.619425092	0.999652389
NOMO1	196.8784402	0.282923769	0.308310148	0.917659606	0.358797101	0.999652389
NOMO2	189.5373055	0.332552185	0.467149209	0.711875732	0.476541731	0.999652389
NOMO3	60.08254277	0.747107219	1.041808428	0.717125337	0.473296764	0.999652389
NONO	297.3068027	-0.094798321	0.353364844	-0.26827321	0.788489026	0.999652389
NOP10	32.56762752	0.136438558	0.473162012	0.288354844	0.77307513	0.999652389
NOP14	72.56955627	0.104601161	0.390988193	0.267530229	0.789060942	0.999652389
NOP16	20.41001899	-0.024394954	0.353616936	-0.06898695	0.945000007	0.999652389
NOP2	27.58592047	-0.278523924	0.707484727	-0.393681889	0.693815915	0.999652389
NOP53	64.48500529	-0.666880634	0.531087603	-1.255688572	0.209228904	0.999652389
NOP56	36.16031958	0.808448661	0.742854508	1.088300135	0.276462631	0.999652389
NOP58	25.18954169	-0.206495673	0.735079818	-0.280915987	0.778774838	0.999652389
NOP9	57.21643367	-0.012261927	0.401347036	-0.030551931	0.975626878	0.999652389
NOS1AP	1.486619878	0.186308201	2.173179986	0.085730682	0.931680512	0.999652389
NOS2	0.093297041	0.007414352	3.819700862	0.001941082	0.998451242	0.999652389
NOS3	2.417328905	-1.625984998	1.11724108	-1.455357332	0.145570362	0.999652389
NOSIP	25.24758136	0.358937443	0.562776834	0.637797119	0.523605756	0.999652389
NOSTRIN	1.138864332	-1.49961545	1.500833675	-0.999188301	0.317703482	0.999652389
NOTCH1	57.3346015	-0.350255377	0.62521959	-0.560211776	0.575334996	0.999652389
NOTCH2	823.2829944	-0.402217435	0.505547098	-0.795608236	0.426259778	0.999652389
NOTCH2NLA	76.78703034	-0.595523648	0.696604286	-0.854895183	0.392609178	0.999652389
NOTCH3	379.4992191	0.66229287	0.843833911	0.784861644	0.432534693	0.999652389
NOTCH4	0.315251732	0.424443958	3.806021055	0.111519078	0.911204738	0.999652389
NOTO	2.588916172	-1.957346601	1.150487799	-1.701318868	0.088883127	0.999652389
NOVA1	8.004712258	0.713982911	0.833973309	0.856122017	0.391930292	0.999652389
NOVA2	4.21991739	1.513330783	1.657243108	0.913161609	0.361157552	0.999652389
NOX4	2.512534783	1.509576473	1.1037647	1.367661489	0.17141806	0.999652389
NOX5	2.262276626	-2.207225692	1.277876686	-1.727260318	0.084120922	0.999652389
NOXA1	1.604006852	0.611422409	1.487407159	0.411065931	0.68102419	0.999652389
NOXO1	0.658563077	-2.064088529	2.775009086	-0.743813251	0.456989463	0.999652389
NOXRED1	0.616572593	-2.018209947	2.749818007	-0.733943098	0.462983419	0.999652389
NPAP1	5.331658672	-0.966441966	0.81707202	-1.182811236	0.236883966	0.999652389
NPAS2	22.62257598	-0.496882022	0.713751324	-0.696155657	0.486331354	0.999652389
NPAS3	1.451311238	2.376441561	1.793917854	1.324721506	0.185263538	0.999652389
NPAS4	0.391323147	-4.78000612	3.754248036	-1.273225976	0.202937865	0.999652389
NPAT	8.46929556	-0.424796067	0.713115758	-0.595690198	0.551382208	0.999652389
NPB	1.465099174	0.065903035	1.716064322	0.038403593	0.969365897	0.999652389
NPBWR1	1.036418255	-0.697577451	3.761062364	-0.185473513	0.852857653	0.999652389
NPC1	165.3686031	0.399464775	0.694790211	0.57494301	0.56532984	0.999652389
NPC1L1	0.54063027	-4.232349495	3.295753216	-1.28418277	0.199078012	0.999652389
NPDC1	85.12022751	0.420615411	0.712547307	0.590298225	0.554990729	0.999652389
NPEPL1	21.89592179	-0.61547791	0.795906755	-0.77330404	0.439342465	0.999652389
NPEPPS	91.14040928	0.041253716	0.449906562	0.091693964	0.926941194	0.999652389
NPFF	0.22358391	-0.92822432	3.812303634	-0.243481215	0.807632636	0.999652389
NPFFR1	8.854076915	0.149958884	0.552146522	0.271592553	0.785935326	0.999652389
NPHP1	3.850473873	1.126028182	1.23225875	0.913791996	0.360826153	0.999652389
NPHP3	14.11162722	-1.032687807	0.950240301	-1.086764901	0.277140723	0.999652389
NPHP3-ACAD11	0.425065212	-1.703270324	3.518772557	-0.484052407	0.628348677	0.999652389
NPHP4	12.61160795	-0.811910172	0.958197642	-0.847330588	0.396810882	0.999652389
